序号,题目,A,B,C,D,答案,类型
47,有记录的世界上飞翔距离最远的是什么鸟？,印度天鹅,波罗的海鱼鸥,北极燕鸥,尖尾雨燕,C,自然
,,,,,,,
49,俗称的“黑管”是哪种木管乐器？,单簧管,双簧管,巴松,萨克斯,A,音乐
50,世界上最长的山脉是：,比利牛斯山,喜马拉雅山,安第斯山,乞力马扎罗山,C,地理
51,《福尔摩斯探案集》里的“苏格兰场”在：,苏格兰,英国,爱尔兰,纽芬兰,B,文学
52,以下哪些果实是核果？,樱桃,银杏,石榴,核桃,A,常识
53,热带鱼一般生活在：,咸水中,淡水中,,,B,自然
54,猫在哪个国家内受到严格保护？,古埃及,古印度,古希腊,古罗马,A,地理
55,《本草纲目》的作者是,孙思邈,李时珍,,,B,文学
56,人的唾液是舌头分泌的，对吗？,对,错,,,B,自然
57,苏伊士运河属于哪个国家？,以色列,巴勒斯坦,约旦,埃及,D,地理
58,世界上第一辆摩托车其主要材料是：,塑料,木头,铁皮,自行车,B,历史
59,亚硝胺是食品中致癌的因素，但是可以多吃什么来抑制人体对亚硝胺的吸收和合成？,鱼子酱,火腿,大白菜,花生,C,化学
60,“山外青山楼外楼”在原诗《题临安邸》中的下句是：,强中自有强中手,西湖歌舞几时休,平明送客楚山孤,碧水东流至此回,B,文学
61,中国最热的地方在哪里？,吐鲁番盆地,南沙群岛,,,A,地理
62,水在摄氏多少度时密度最大？,零下10度,0度,4度,8度,C,物理
63,太阳系中最大的行星是: ,土星,木星,火星,海王星,B,天文
64,居住在蒙古与内蒙古地区的民族联合，并自称“蒙古”，起于何时？,耶律亿,成吉思汗,,,B,地理
65,“腊八粥”最早起源于：,祭祀,民间庆祝丰收的风俗,佛教,,C,历史
66,委托人所确定的拍卖标的的保留价是成交的最高价吗？,是,不是,,,B,政治
67,中国古建筑学科的开拓者是：,鲁班,梁思成,杨廷玉,童寓,B,历史
68,杜鹃鸟不做窝，她把蛋下到其他鸟的鸟巢里对吗？,对,不对,,,A,自然
69,亚欧大陆桥欧洲的终点站是：,鹿特丹,阿姆斯特丹,,,A,地理
70,空手道的禁忌是：,用脚,用肘,出击触及对方身体,,C,体育
71,按照公司法规定，股份有限公司发起人的股份在公司设立几年内不能转让？,半年,1年,2年,3年,D,政治
72,举重比赛中，最重的杠铃片是：,蓝色的,绿色的,红色的,黄色的,C,体育
73,我国是什么时候采用公历的？,鸦片战争时期,辛亥革命时期,建国前夕,建国后,C,历史
74,“驸马”最初是指：,给皇帝养马的人,官名,给皇帝牵马的人,马的名字,B,历史
75,古希腊哪个国家的儿童一出世就要受到严格挑选，体质弱的会被抛之荒野？,雅典,斯巴达,,,B,历史
76,纯羊绒的含绒量在：,51%以上,70%以上,95%以上,,C,常识
77,中国古代哪个学派的主张，与绿色和平组织的思想相近？,儒家,法家,佛家,道家,D,历史
78,西游记中去西天取经的“唐三藏”的真名是：,玄慈,玄明,唐僧,玄奘,D,文学
79,血液中的红细胞可以活：,7天,120天,一生,,B,自然
80,国际通用的航海速度用“节”表示，一“节”为：,0.925公里/小时,1.152公里/小时,1.852公里/小时,2.152公里/小时,C,地理
81,电池上通常标有R55、R5、等符号，R代表：,电池的形状,电池的含电量,电池的尺寸大小,酸性或碱性电池的标志,A,常识
82,在下列哪一年Internet网延伸入中国？,93年,94年,95年,96年,B,历史
83,金星上会看到“旭日西升”吗？,对,不对,,,A,天文
84,冬季奥运会如何计算届次？,4年1次，如因故不能举行，届数照算,4年1次，以实际举办次数计算,,,B,体育
85,下列天体中，距离地球最近的恒星是：,太阳,比邻星,月球,,A,天文
86,地球公转速度为每秒：,10公里,20公里,30公里,,C,地理
87,几个人以上共同故意犯罪被称为共同犯罪。,2个,3个,5个,10个,A,政治
88,世界名画《和平鸽》的创作者是,毕加索,凡高,,,A,文学
89,《春秋》是按什么记事的？,年,国,事件,,A,文学
90,奥运五环旗中的绿色环代表：,美洲,欧洲,澳洲,亚洲,C,体育
91,用微波炉煮荷包蛋时要用牙签在蛋清、蛋黄上扎孔主要是为了什么？,容易入味,防止爆裂,受热均匀,煮熟得快,B,常识
92,“歌棚”是哪个民族的习俗？,傣族,苗族,壮族,京族,C,旅游
93,正规围棋比赛的棋盘大小是：,13乘13,15乘15,19乘19,21乘21,C,体育
94,景泰蓝的表层用金丝，彩釉装饰，用什么做胎?,铜,铁,锡,,A,常识
95,有“钢琴诗人”之称的是：,贝多芬,海顿,莫扎特,肖邦,D,文学
96,“总角之交”是指：,顽童之交,少年之交,中年之交,忘年之交,B,文学
97,通常情况下，中秋节晚上的月亮总是比第二天晚上的月亮亮吗？,是,不是,,,B,天文
98,茶叶的含水量高于8%会导致什么后果？,茶叶味道更好,发生霉变,,,B,化学
99,马头琴是我国哪一民族的拉弦乐器？,蒙古族,维吾尔族,,,A,旅游
100,五子棋段位制最高为：,一段,六段,九段,十段,C,体育
101,下面哪种炊具对人体健康最有益？,不锈钢锅,铁锅,铝锅,沙锅,B,物理
102,在劳动合同中写有“发生工伤事故责任自负”的条款，是否具有法律效力？,有,没有,,,B,政治
103,郭沫若的诗集是：,《死水》,《野草》,《女神》,《红烛》,C,文学
104,按有关法律规定，经营者可以从事的抽奖式有奖销售，最高奖的奖金额的限度是：,五千元人民币,五万人民币,一百万人民币,五百万人民币,A,政治
105,水族姑娘出嫁后要完成的第一件事是：,挑柴,挑水,挑米,,B,旅游
106,英语“文化”一词原意是指：,勤奋,耕作,用餐,小说,B,文学
107,我们日常的主食基本上属于什么食物？,酸性食物,碱性食物,中性食物,半酸半碱食物,A,化学
108,我国古代称生什么为“弄瓦”？,男孩,女孩,第二个孩子,,B,文学
109,小儿没爬就会走了，好吗？,好,不好,,,B,常识
110,下列哪种人最适宜坚持慢跑？,肺病,肝病,心脏病,,C,常识
111,可以用厚纸做容器来把水烧开吗？,可以,不可以,,,A,常识
112,太阳光经三棱镜折射后，形成色带，将温度计的水银泡涂黑，放到光带上，从紫端向红端移动，温度计指示的温度将不断：,升高,降低,,,A,物理
113,蕴藏石油最丰富的半岛是：,亚平宁半岛,小亚细亚半岛,阿拉伯半岛,,C,地理
114,受委托代理销售房屋的房地产中介机构除有工商执照外还应有：,营业执照,税务登记,资质证书,,C,政治
115,下列战役中，被陈毅元帅称作“人民群众用小车推出来的”是：,淮海战役,平津战役,辽沈战役,,A,历史
116,公元前594年，实行“初税亩”，按亩收税的国家是：,楚国,鲁国,郑国,魏国,B,历史
117,最耐日晒的织品是哪一种？,苎麻,腈纶,羊毛,涤纶,B,常识
118,古语“朵颐”中的“颐”是指：,耳垂,手腕,面颊,,C,文学
119,“华表”又叫做 ,表木,讷木,,,A,文学
120,蝴蝶发现花蜜靠：,眼看,前足沾,嗅觉闻,嘴尝,B,自然
121,破产企业甲曾与乙企业共同出资合办一法人企业丙，则甲出资投入丙的财产：,应作为破产财产,不应作为破产财产,,,A,政治
122,冬泳时，在下水之前饮用白酒可以御寒吗？,可以,不可以,,,B,常识
123,走私、贩卖、运输、制造多少克毒品是犯罪行为？,无论数量多少,海洛因50克以上,,,A,常识
124,电度表上的一度电表示耗电量为：,1百瓦*小时,1千瓦*小时,1瓦*小时,,B,物理
125,汉字“廿”是表示：,十,二十,,,B,文学
126,国际奥林匹克集邮联合会在哪一国家成立？,瑞士,希腊,西班牙,,A,体育
127,欧洲第一个使用印刷机的民族是：,爱尔兰人,冰岛人,丹麦人,意大利人,B,地理
128,“一狐之腋”比喻：,微小的事物,珍贵的事物,有气味的事物,,B,文学
129,“户枢不蠹”的“不蠹”是什么意思？,不损耗,不生虫,,,B,文学
,,,,,,,
131,行驶在支路的轿车A未让行驶在干路的轿车B导致两车在路口相撞，则：,轿车A负主要责任,双方各负一半责任,轿车A负全部责任,,C,政治
132,照相机不能拍摄到人眼看不到的星星吗？,对,不对,,,B,物理
133,防风林要达到最好的防风效果，应由：,5―10行树组成,10行以上树组成,,,B,地理
134,空腹跑步有利健康吗？,有利,不利,,,B,常识
135,《阿里山的姑娘》是哪个少数民族的家人？,苗族民歌,彝族民歌,高山族民歌,黎族民歌,C,音乐
136,南岳衡山的最高峰是：,天都峰,祝融峰,莲花峰,,B,地理
137,以下哪一位曾被称为“药王”？ ,孙思邈,张仲景,李时珍,扁鹊,A,历史
138,我国的“诗圣”指的是：,李白,杜甫,李贺,,B,文学
139,以下哪一作法不利于新生儿更多地看到玩具？,把玩具悬挂在孩子头的正上方,使光线变暗些,把玩具与孩子眼睛的距离控制在20cm,,A,常识
140,樱桃白兰地是用樱桃作原料酿制的，对不对？,对,不对,,,A,化学
141,小明把一个中央有圆孔的铜垫片加热，他发现中央的圆孔,变大,变小,不变,,A,物理
142,青蛙除了用肺外还用什么器官呼吸？,肌肉,皮肤,脾脏,肝脏,B,自然
143,否决权最初的语义是：,我禁止,这是不对的,,,A,文学
144,钻石最大的产出国是：,南非,巴西,扎伊尔,,C,地理
145,第一次鸦片战争发生的时间是：,1839年3月,1840年6月,1841年1月,,B,历史
146,按国家规定，机关新录用的本科毕业生，在试用期基本月工资为：,295元,315元,330元,375元,C,政治
147,起诉虐待案件应是什么部门受理：,人民检查院,人民法院,公安机关,民政机关,B,政治
,,,,,,,
149,下列不适用《产品质量法》的有：,建设工程,加工品,消费品,制作品,A,政治
150,清洁的空气中含有多少氧？,21%,31%,41%,,A,物理
151,20公里以上的竞走比赛，一般每隔多少公里设置饮食供给站？,3公里,5公里,7公里,10公里,B,体育
152,以下哪一个是联合国安理会常任理事国之一？,澳大利亚,德国,意大利,法国,D,政治
153,世界上生产玉米最多的国家是：,中国,日本,美国,英国,C,地理
154,世界最早的公用电话亭是在：,银行内,公园内,商店内,电话公司内,D,历史
155,发生在北京卢沟桥的历史事变名叫？,华北事变,戊戌政变,七七事变,皖南事变,C,历史
156,歌剧《茶花女》谁的作品？,威尔第,普契尼,比才,瓦格纳,A,文学
157,世界上第一家麻将博物馆坐落在：,中国,日本,法国,印度,B,历史
158,蜜蜂中的“蜂王”是：,雌蜂,雄蜂,,,A,自然
159,《史记》是：,纪传体通史,编年体通史,,,A,文学
160,馒头是谁发明的？,李冰,诸葛亮,曹操,,B,历史
161,预防颈椎病，下列哪种方法是错误的？,低枕睡眠,睡软床,按摩颈部肌肉,注意颈部旋转屈伸活动,B,自然
162,隋唐时期的官制中尚书省分为吏，户，礼，兵，刑，工六部，其中的礼部是掌管：,规定礼仪，监督和教育官员和百姓懂得礼仪,掌管国家的典章法度，祭祀，学校，科举和接待四方宾客等事务,,,B,历史
163,我国宪法的监督权属于：,国务院,全国人大,全国人大常委会,全国人大法律委员会,C,历史
164,长颈鹿的颈椎数和狗的颈椎数目一样多吗？,一样,不一样,,,A,自然
,,,,,,,
166,报道中有时会看到关于“UFO”的报道，UFO是指不明飞行物，对吗？,对,不对,,,A,常识
167,我们在电塔附近听到的嗡鸣声是：,变压器发出的,电线发出的,人耳的错觉,,B,物理
168,根据宪法规定，土地使用权可以依据法律的规定：,出租,买卖,转让,遗赠,C,政治
169,我国的“冰城”是指哪一城市？,吉林市,哈尔滨,辽阳市,牡丹江,B,地理
170,在苹果树修剪合理的情况下，果实着色最好的部位应处于,树北侧上方,树南侧上方,树北侧下方,树南侧下方,B,自然
171,自行车的红色尾灯只是个装饰品吗？,是,不是,,,B,常识
172,古诗云：洞庭天下水，岳阳天下楼。岳阳楼在哪座湖上？,太湖,洞庭湖,,,B,文学
173,下列影片中，以歌颂少数民族新生活为题材的是：,《李双双》,《洞箫横吹》,《柳堡的故事》,《达吉和她的父亲》,D,文学
174,“三明治”的命名与什么活动有关？,骑马,打猎,打牌,,C,文学
175,下面的通讯社哪个属于美国？,新华社,美联社,,,B,地理
176,搪瓷器皿是否越重越好？,是,不是,,,B,物理
177,辣椒在植物分类中，是属于,椒科,茄科,,,B,自然
178,美术作品<<开国大典>> 是一幅：,国画,水粉画,水彩画,油画,D,文学
,,,,,,,
180,电鳗是一种鳗鱼吗？,是,不是,,,B,自然
181,世界最深的洼地是：,地中海,死海,红海,黑海,B,地理
182,泥娃娃“大阿福”的老家是：,江苏无锡,江西景德镇,浙江杭州,浙江龙泉,A,地理
183,人走路时摆动双臂主要是为了：,减少能量消耗,校正头部位置,平衡走路姿势,加快行走速度,C,常识
184,鲨鱼用什么呼吸？,肺,鳃,,,B,自然
185,在江浙一带最流行的地方戏曲是：,越剧,黄梅戏,京剧,昆曲,A,地理
,,,,,,,
187,婴儿出生时啼哭意味着婴儿开始有：,呼吸,听觉,视觉,味觉,A,自然
188,在地球上，极光是高纬度地区特有的景观，对不对？,对,不对,,,A,地理
189,被称为“三苏”的北宋文学家父子中的父亲是 ,苏洵,苏轼,苏辙,苏舜钦,A,文学
190,少年韩寒中学肄业却出了一本叫做《三重门》的书，这本书的体裁是：,散文,小说,,,B,文学
,,,,,,,
192,韭菜是一种什么类型的植物？,一年生草本,多年生草本,二年生草本,,B,自然
193,世界上目前产量最大、应用最广泛的电池是：,蓄电池,湿电池,锌锰干电池,,C,地理
194,我国最著名的热水湖是哪一个？,西藏羊八井,新疆罗布泊,内蒙古呼伦湖,,A,地理
195,新加坡经济发展较快的主要原因是：,自然条件好,劳动力资源丰富,地理位置优越,,C,地理
196,最早设计的轮椅有几个轮子？,两个,三个,四个,,B,常识
197,骆驼有双层眼睫毛。,对,不对,,,A,自然
198,象征主义诗歌的开山鼻祖是,荷马,莎士比亚,福克纳,艾略特,D,文学
199,寒潮将至的时候，蜘蛛会：,大量吐丝结网,不再吐丝结网,,,A,自然
200,国家公务员制度起源于？,美国雇员制,法国议会制,英国文官制,德国武官制,C,政治
201,为什么笛卡儿指着一筐兔子说，那是他的书？,那是他的宠物,家族图腾,提倡观察,他是经验主义者,C,文学
202,“东床快婿”原本是指：,司马相如,赵明诚,诸葛亮,王羲之,D,文学
203,电影界“百花奖”的主办单位是：,《大众电影》杂志社,中国电影家协会,,,A,文学
204,阿诗玛是我国云南哪个民族塑造的艺术形象？,彝族,瑶族,白族,苗族,A,旅游
205,陆地水中储量最大的水体是：,地下水,江河水,冰川水,湖泊水,C,地理
206,美国1787年宪法规定，解释宪法的权力在：,众议院,参议院,最高法院,总统,C,历史
207,多快的速度才能使卫星环绕地球运行?,大于11.2千米/秒而小于16.4千米/秒,大于7.9千米/秒而小于11.2千米/秒,大于16.4千米/秒而小于18.2千米/秒,大于7.9千米/秒而小于16.4千米/秒,B,天文
208,世界上地势最低的国家是：,芬兰,冰岛,挪威,荷兰,D,地理
209,亚洲首次举办奥运会是哪一届？,16届,17届,18届,19届,C,体育
210,依据中国法律规定，机动车靠边停车时应：,开左转向灯,开右转向灯,,,B,常识
211,路透社是哪个国家的通讯社？,美国,英国,俄国,法国,B,地理
212,国家住宅电气标准中规定，两居室的固定插座数量为？,6个,8个,10个,12个,D,物理
213,著名的“响尾蛇”空对空导弹是采用：,雷达制导系统,红外线制导系统,激光制导系统,,B,科技
214,王某明知李某制造毒品但仍为其提供制造毒品的原料，按何罪论处？,以非法贩卖制毒物品罪论处,以非法提供毒品罪论处,以制造毒品罪的共犯论处,以制造毒品罪论处,C,政治
215,为什么麻雀经常在地上蹦来蹦去，而燕子很少下地活动？,燕子怕冷,燕子怕脏,燕子在空中觅食,,C,自然
216,哪一区域是我国最大的商品性大豆和出口大豆生产基地？,东北,华北,,,A,地理
217,小提琴有几根弦？,2根,3根,4根,6根,C,音乐
218,“休克疗法”本是医学术语，后被引入哪一领域？,经济,政治,文学,体育,A,文学
219,我国的集装箱长、宽、高哪个是一定的？,长,宽,高,,B,常识
220,“寸草春晖”是比喻父母恩情难以报答，它出自唐朝哪位诗人的诗句？,李白,杜甫,孟郊,,C,文学
221,我国足协评出千禧年足球先生张恩华是以什么身份获得这项殊荣的？,前锋,中锋,后卫,,C,常识
222,勾股定理中，较长的直角边叫做：,“股”,“勾”,“弦”,,A,科技
223,按照我国合同法的规定，当事人对合同变更的内容约定不明确时：,推定自始没有订立合同,视为合同解除,推定为未变更,视为合同自始未成立,C,政治
224,会飞的蝙蝠属于：,兽类,鸟类,,,A,自然
225,俗称“长生果”是指：,花生,腰果,核桃,,A,文学
226,世界上第一颗爆炸的原子弹的名字是？,瘦子,胖子,男孩,女孩,A,天文
227,下列选项不属于国家领土的是：,领陆,领水,外层空间,底土,C,地理
228,我国商业性发射通讯卫星最多的运载火箭是：,长征二号,长征二号丙,长征三号,长征三号甲,B,科技
229,内蒙古草原上的芨芨草最高可达：,1.5米,2米,,,B,地理
230,熊猫的交配多采用：,一夫多妻制,一妻多夫制,多夫多妻制,,C,自然
231,政府属于现代市场经济条件下的市场主体吗？,不属于,属于,,,B,政治
,,,,,,,
233,金丝燕初次做的窝我们把它叫做：,毛燕窝,白燕窝,血燕窝,燕根,B,自然
234,京剧中4指全扣向掌心，唯独伸直大拇指的指法叫：,剑诀指,怒指,英雄指,称赞指,C,文学
235,造成煤气中毒的气体是：,一氧化碳,二氧化碳,,,A,化学
236,在“夸父逐日”中，“夸父”是怎样追逐太阳的？,驾车,奔跑,飞行,骑马,B,文学
237,哥特式建筑的代表作是：,比萨大教堂,巴黎圣母院,圣彼得大教堂,圣日维涅大教堂（巴黎万神庙）,B,地理
238,我国于1958年制出第一台电子管计算机，它的运算速度为每秒？,两千次,两万次,二十万次,二百万次,A,电脑
239,我国最后修建铁路的省区是：,西藏,新疆,贵州,,A,地理
240,不能用开水煎中药的原因是：,开水会杀死植物性中药的有效细胞,开水会使蛋白质和淀粉凝结,开水不能和中药溶和,,B,物理
241,根据《企业破产法》，参加债权人会议的全体成员都享有表决权吗？,是,不是,,,B,政治
242,最早芭蕾舞出现于：,杂技团,宫廷,学校,戏团,B,历史
243,各国国籍法对国籍的取得有不同的规定，我国人在外国结婚，同时取得该国国籍，那他的中国国籍会怎样？,可以备档作保留,会自动丧失,仍然保留,,B,政治
244,依照宪法规定中华人民共和国主席，副主席都缺位的时候由全国人民代表大会补选。在补选以前应由谁暂时代理主席职位？,国务院总理,全国人民代表大会常务委员会委员长,,,B,政治
245,鲜啤酒就是通常所说的：,生啤酒,熟啤酒,,,A,常识
246,鱿鱼又叫,乌贼,章鱼,枪乌贼,,C,自然
247,2002年大学生运动会的吉祥物是只,扬子鳄,白暨豚,金丝猴,,A,体育
,,,,,,,
249,2001年1月8日起，在广深线投入正式运营的“蓝箭”列车的时速是：,160公里,200公里,,,B,科技
250,撒尿小孩铜像坐落于,纽约,布鲁塞尔,哥本哈根,意大利,B,地理
251,房主李某虽已与侄子签订正式的房屋赠与合同，侄子并已入住，但尚未办理过户手续，李某能否收回房屋？,能,不能,,,A,政治
252,“春风不度玉门关”是谁的诗句？,李白,杜甫,李清照,王之涣,D,文学
253,科学家受哪种动物的启发，研制出能使潜艇长时间航于冰海之下后能破冰上浮的机构?,鲨鱼,鲸,海狮,,B,科技
254,我国的原油加工能力居世界第几位？,第一,第二,第三,第四,D,地理
255,世界上最早种植棉花的国家是,中国,印度,,,B,地理
256,“六书”指的是：,六本书,一本书,造字方法,,C,文学
257,一朵向日葵花能结多少葵花籽？,成百上千个,一个,,,B,自然
258,储存期较长的啤酒是哪种啤酒？,生啤酒,熟啤酒,,,B,常识
259,“成也萧何，败也萧何”说的是谁的经历？,刘邦,张良,韩信,项羽,C,文学
260,古诗的体制称为“风雅颂”，其中“颂”是指：,地方民歌,王朝正声,宗庙乐歌,,C,文学
261,2002年初原长城公司的CDMA业务被移交给了哪一家公司？,中国移动,中国联通,中国电信,中国网通,B,科技
,,,,,,,
263,从飞行员的位置来看，红色航行灯总是装在,飞机的头部,飞机的机尾,飞机的左翼尖,飞机的右翼尖,C,常识
264,西欧农奴没有以下哪种权利义务？,向封建主交纳地租,向教会交纳什一税,为封建主服劳役,定期服兵役,D,地理
265,可以用来制造锅钮、铝壶或烧锅的提手柄的是,赛璐珞,聚乙烯塑料,电木,,C,常识
266,法律规定的劳动者可以随时通知用人单位解除劳动合同的情形不包括：,在试用期内的,用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动的,工作满3年的,用人单位未按照劳动合同约定支付劳动报酬或者提供劳动条件的,C,政治
267,肥皂有“软硬”之分，它取决于：,含油量,含碱量,含酸量,,B,化学
268,睡觉时若希望更凉爽，可用：,竹席,草席,,,A,常识
269,2000年奥运会上，撑竿跳高所用“竿”的质地是：,竹,玻璃纤维,木,金属,B,体育
270,在云南，湖泊习惯上被称为：,淀,泊,泽,海,D,地理
271,我国第一所民办高等教育机构哪年建立？,1982,1985,1988,1992,A,历史
272,毒蛇的毒牙一般长在：,上颚,下颚,,,A,自然
273,乘客在车辆行驶中，不得将什么伸出车外,头部,手和脚,身体的任何部分,,C,常识
274,猫头鹰在猎物过于逼近自己时往往会先：,往前跃,往后跃,,,B,自然
275,根据公交部《关于修改道路交通事故等级划分标准的通知》规定，重伤三人以上十人以下的事故为？,轻微事故,一般事故,重大事故,特大事故,C,政治
276,红烧菜肴为什么放白糖？,呈色、提香,弥补苦味,,,A,常识
277,最初在文学中三部曲：,只有悲剧没有喜剧,只有喜剧没有悲剧,只有议论文没有小说,只有小说没有,A,文学
278,电脑硬盘是磁盘还是光盘？,磁盘,光盘,,,A,电脑
279,人如果倒立着喝水：,喝不进去,水会从鼻中流出,和站着喝水效果一样,,C,常识
280,如果一双鞋按现在统一标准是26号，则它相对应的老鞋号是：,39,40,41,42,D,常识
281,海明威的小说《丧钟为谁而鸣》是以哪次战争为历史背景的？,西班牙内战,第一次世界大战,美西战争,,A,文学
282,中国民间为什么要吃腊八粥？,迎接春节,纪念释迦牟尼,纪念小寒来临,,B,旅游
283,生态危机与人类的哪个习惯关系最密切？,懒惰,遗忘,浪费,贪吃,C,常识
284,花岗岩属于哪一类岩石？,火成岩,沉积岩,变质岩,,A,地理
285,“杵臼交”多用来指不计身份而结交的朋友。这里的“杵臼”在古代是用来做什么的？,捣米,打水,磨面,榨油,A,文学
286,好莱坞位于美国什么州：,加利福尼亚州,纽约州,,,A,地理
287,清光绪年间曾对邮票有一种非常特殊的称谓，请问当时叫什么？,老人头,小孩头,,,A,历史
288,“画龙点睛”的传说中被点睛的龙会：,飞走,扭动,眨眼,,A,文学
289,古时代，地中海沿岸地区以一种豆角树上的一部分作为计量黄金重量的测量标准。请问：其所用的是豆角树的哪一部分？,树根,豆夹,花朵,豆仁,D,物理
290,牙膏的泡沫是越多越好吗？,是,不是,,,B,常识
291,世界上最深的湖是: ,苏必利尔湖,里海,贝加尔湖,,C,地理
292,质量单位千克等于国际千克原器的质量，这个原器由：,铂金制成,黄金制成,铂铱合金制成,铝制成,C,物理
293,我国最早提出创建监狱的人是：,皋陶,李斯,,,A,历史
294,“初出茅庐”中的“茅庐”本意是指谁的的住处？,诸葛亮,司马迁,司马光,刘备,A,文学
295,下列鱼中，对水中的氧气含量要求最高的是：,海水冷水鱼,淡水冷水鱼,淡水热带鱼,海水热带鱼,D,自然
296,大汶口文化遗址在我国的：,山东,河南,,,A,地理
